,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Day.in.Study.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,P2_012,-0.2791469187469195,-0.36358266707668585,1.1445778924398469,-0.38839808833023154,0.11651264177114894,-1.3796910850638378,0.026410303676482557,0.17890844285156268,0.04143067097815534,0.13516710220069528,0.0777881399658419,4.714195623091089,0.2552788807757621
1,P2_013,2.548130617855185,-0.8631688212923437,0.11793868615699847,-0.6178488580280147,-0.10287067504416242,-1.0452860343458426,-0.45784977510247366,0.015603329364614366,0.04289649908280146,-0.30514306559504684,-0.04285889307978403,4.9207497990605935,0.13608729924566887
2,P2_014,-0.6836272508065926,-0.35044953974643545,0.5187896785181729,-0.18397753490856564,0.26819926549920514,-1.479370690774728,0.2692670843538243,0.03812793520536795,-0.16540991250747436,-0.00831043718795696,0.06855638014688566,4.577361436993514,-0.2470066623178496
3,P2_017,0.5286333533995867,-0.6415670178723593,0.08211973827110207,-0.6967128335505226,-0.3078501336018336,-1.321382225057939,0.005050888304520652,-0.01385795458521392,-0.036277925325973875,-0.0871457548785687,-0.07341952129888916,4.983681792085268,0.0968356335312324
4,P2_019,-0.24242745237536686,-0.033378153215499036,0.7078160764749051,0.5085159648390979,-0.7462616526256327,-0.0442241909870734,-0.26501565589146936,0.06551957158065541,0.007272569441421946,-0.12052905843936604,-0.17793972311593748,4.876370566512366,0.2925236573827696
5,P2_020,0.023096087486631,0.04208511101248286,-0.512229937951656,0.1643965549565599,-1.1170942237472419,-0.8279207007283637,0.03885322019068297,-0.03260741249883585,-0.09856966237115905,-0.0026047889956449513,0.03932232696219023,5.1386873924216205,0.1408795713377668
6,P2_021,0.6597310371489193,-0.633095461124213,0.4145857570091085,-0.25787804484721794,-0.11522343230162131,-0.3679513892035062,0.17502454722610744,-0.36327087945529973,-0.00498454451686995,0.8623516836406819,-0.000488140852000472,4.034932033159151,0.3910217417153816
7,P2_022,0.7300885281507633,-0.39880901802281143,0.2462393386802788,0.2786547944081963,0.0695239677502554,-1.2801699469840229,-0.12624913211257094,0.10090704775967733,-0.16053641080241365,0.3554871648157963,-0.21630362760399022,4.711021261181847,0.3172151079436818
8,P2_024,0.5305164361066586,0.26431704049544563,0.5780457617366609,-0.4346797841177374,-0.04346864142696512,-1.18190677085811,0.05627722891270389,-0.07324414431321635,-0.19803583611825373,-0.02730799029715216,0.03579121160844674,4.850702914667568,0.1726376046013189
9,P2_025,0.08644968610573851,0.5220290766793664,0.39655985560217544,-0.1881618639367945,-0.799293088882681,-1.4892655539331858,-0.06708819337863876,-0.007392001849056414,0.005210905752811104,-0.019578131732206,0.11204577261077373,4.748753055405297,0.1611242630473833
10,P2_027,-0.42078304453476273,-0.8175085607478464,0.31674238796266624,-0.6165259968300724,0.06599258339108542,-1.5115954319051355,0.01138432819061412,-0.02534922026909688,-0.16844898556285956,-0.041174007807431315,-0.05856751681934672,5.001795350766909,0.1441045966487052
11,P2_028,0.12330939644713747,0.13155690154990218,0.9796136081691925,0.4065536172151116,0.33093019580806504,-1.0631087796847287,-0.22485374166652744,-0.04869513820826382,0.03704009081833411,-0.24030712712741573,-0.04762830789742644,4.796806883559495,0.1082903044556752
12,P2_029,0.7442634974969042,-0.04425565035137333,0.4591618912979549,0.28683731296000803,0.38909781059742166,0.45096993411897807,0.4385237945036613,-0.17751257688493458,-0.2444709868831873,0.6337514754253156,0.2533615190929729,4.27787123994057,0.5418382100765398
13,P2_030,-1.4811373112564152,-0.4576877765190906,-0.10339846714136808,0.2728199748092352,0.34997072080319735,0.655147267877825,0.37678349427521496,-0.024810946369959633,-0.011984388282383778,-0.39573475483964093,-0.03261842093530139,4.900977695806842,0.08725515391603446
14,P2_031,0.04182712176325957,-0.9845843022470192,0.7869751285800858,-0.9452348482322117,0.09603970421723476,0.28598227147984345,-0.15720141711967936,0.06100307272259842,-1.0393954974355608,0.6781013324040834,-0.12565452784167347,3.9235050734739882,0.3677900489160944
15,P2_033,0.21383262528310568,-0.4562142924434386,-0.11780237244669052,-0.3021793302438624,0.40705893847809366,-0.17571517063185604,-0.022065649427278945,-0.03656881658987853,0.06518071645583137,0.1658290699755014,0.02949421201857749,4.658185591781665,0.10759580884341798
16,P2_034,-1.4088757958528262,0.005456525837873964,0.10617298867835226,0.34796943372700007,-0.07102058290723288,0.9492297335090156,0.05426377029891386,0.17811717716504794,-0.02594825783271408,-0.23584772254920827,0.10968652454975485,5.112408960657635,0.11801150459526515
17,P2_035,0.43231057150314234,-1.0050111459837088,-0.598644838834217,-0.3125040497882551,-0.07207666548555096,-1.628250605955551,0.009350769876007756,0.0663297366506016,-0.3177309508036537,0.5823744356331806,0.15835177717166482,4.292640568204036,-0.3141079570569237
18,P2_040,0.12426272057512147,-0.5001100076571152,0.8374407277639645,-0.1019637567167706,-0.2771664002476157,-1.1668330327377374,0.014951376122767248,-0.008405481737790467,-0.19933526356176304,0.17099987475004835,0.06873153459759952,4.54224547653599,-0.2091403482085434
19,P2_041,-0.895554959299617,-0.16791820447904207,0.39116677298281416,-0.5177875341939887,0.4381100842728371,-0.9864531805095731,0.10081537736930411,-0.007116825790869092,-0.01984718652280476,-0.17282522526613273,-0.07801162223119484,5.055573711342382,0.09699293271758457
20,P2_042,0.47539072071912136,-0.09595878277420365,0.39322007371892065,-0.851416322112042,0.10559176485269392,-1.8300893185964169,0.0028376690944376063,-0.004055838743258005,0.0018461558249032457,-0.013134466203915928,0.003145197440103486,4.812745956355689,0.012745697682350739
21,P2_043,-2.714356562159218,-0.12074291096932398,0.28198772083776574,0.5746244474905092,-0.34983184093827013,1.6691105618931747,2.5145655801362268,-0.39660625670132804,-0.8528922210909473,0.5845413407889567,0.55750971470013,2.514509988947956,0.4123149739507724
22,P2_044,-1.5317055288946908,-0.15664984504416438,-0.1839286107598551,0.34463199197326594,-0.4463702185988221,1.205049993519296,0.8013267991463098,-0.002939700224584714,-0.003104296841555598,0.7564902226626207,0.39395585703930247,4.338881798690389,0.3619465826837797
23,P2_045,0.1001566475657924,-0.042074348796491544,1.2126095491893476,-0.22756938995806295,-0.507637859910616,-1.4250121023576647,-0.31168222643212123,0.01993135685727331,0.012609403642395888,0.15997052028958852,0.5838750834082902,5.132599663387167,0.561931284735161
24,P2_046,0.5606053661751916,0.25746295455602797,-0.10103910159992749,-0.39134903266713567,-0.312960439332686,-1.541976471032207,-0.10342198632639121,-0.07662483279753413,-0.13782757383243904,0.06772295153088195,0.02430700628021438,4.797300001445148,0.23840462054258219
25,P2_047,-0.1641719200125869,0.6641589699332278,0.7802745358757331,-0.31117736232621257,-0.09559153421155887,-1.1075637736252497,0.013131874670297614,-0.18581483215978306,-0.04025366403177245,0.1778147001048308,0.1207396389252852,4.6638145212780895,0.33005818685997207
26,P2_048,-0.9598902016694218,-0.2765622474323839,0.881133972795537,0.14819890773582176,0.6235124127075674,0.9897300818746609,0.6318246504003218,-0.18681623563225244,0.0715140300340111,0.8775390501383455,0.12059862553583792,3.8791512574986244,0.36215018119795933
27,P2_050,-0.10178748718632517,-0.3788494594464846,0.7152953883879978,1.1705137428863022,0.19036946991416123,0.15862261091042387,0.18940722008829072,0.012005695676576984,-0.0910821469459978,0.3846535252001175,0.08980325376596819,4.938690477314649,0.24836937933518788
28,P2_051,0.6891357036557493,-0.014301809843601623,0.9488784134774637,0.36795347701899433,-0.05879787703077308,-0.2973809520253433,0.028075609811894945,-0.28745035501063376,-0.07698994920598977,0.5446895368651226,-0.031765821813669784,4.002862822942123,-0.39782100331945885
29,P2_052,-3.1227778055636164,-0.16933985797895348,-0.07209892876134724,0.2882232108464118,-0.0600866202296797,1.4886492679839725,2.4924584961773233,0.0034204815883518242,-0.005469241141242781,-0.023909207520957158,-0.012638941305417335,2.492434443194986,-0.0369019648275199
30,P2_053,0.19466904486257688,-1.1681197988749983,0.4139913414889206,0.27737564277209764,0.3542218274542621,0.18944587917270114,-0.2847137457430133,-0.18871131180671566,-0.27449907546362157,-0.29230391142538564,0.022246531086153338,4.787549778776083,0.3839327965965373
31,P2_056,-0.13057037186934695,-0.4310838134482139,0.4353810106703678,0.19415801760603443,0.302730865542113,-0.9957911594753641,0.25936163599945844,0.04388342072774296,0.0021806511104986276,-0.004732205655636802,0.03189906632871109,4.666826357600612,0.13515769672724062
